search_intent,url_1,url_2,conflict_level,likely_primary_owner,recommended_resolution,requires_gsc_data,notes
akupunktur st. gallen / tcm st. gallen,/akupunktur-tcm-st-gallen/,/standorte/st-gallen/,high,/standorte/st-gallen/,GSC-Query-Report ziehen; dann entweder Stadt-Lander auf Region/Ostschweiz differenzieren oder per 301 auf Standortseite konsolidieren (Winterthur-Präzedenz),yes,Fast identische Titles/H1s; beide stark intern verlinkt (StickyCtaBar bzw. 132 interne Refs). 09/2026 bewusst NICHT blind geändert.
akupunktur basel / tcm basel,/akupunktur-tcm-basel/,/standorte/basel/,high,/standorte/basel/,Beide Seiten sind neu (Praxis öffnet 2028); Indexierung abwarten und per GSC entscheiden; bis dahin keine dritte Basel-Seite anlegen,yes,Gleiche Konstellation wie St. Gallen; /standorte/basel/ passt in die Architektur (hat /kosten/-Kind + Breadcrumb).
kinderwunsch akupunktur / tcm kinderwunsch,/beschwerden/kinderwunsch/,/wissen/kinderwunsch-akupunktur-tcm/,high,/beschwerden/kinderwunsch/,Wissen-Artikel auf enge Intents fokussieren (IVF-Begleitung im Detail; Studienlage) und Behandlungs-/Krankenkassen-Abschnitte entschlacken; erst nach GSC-Check,yes,Beide decken Studienlage + IVF + Krankenkasse; stärkste offene beschwerden/wissen-Überschneidung.
hijama / blutiges schröpfen,/therapien/schroepfen/hijama/,/therapien/schroepfen/blutiges-schroepfen/,medium,/therapien/schroepfen/hijama/,Blutiges-Schröpfen-Title vom Zusatz (Hijama) befreien und klar auf den deutschen Begriff ausrichten; Hijama-Seite behält den arabischen Begriff; Cross-Link mit erklärendem Anker,partial,"Beide Titles führen ""Hijama in der Schweiz""-Varianten; Begriffe sind Synonyme mit unterschiedlichen Suchpopulationen — Differenzierung möglich."
elektroakupunktur,/therapien/elektroakupunktur/,/wissen/elektroakupunktur-wirkung/,medium,/therapien/elektroakupunktur/,Wissen-Title stärker auf die Wirkmechanismus-Frage drehen (Vorbild: Studienlage-Frames 09/2026); Therapieseite besitzt den Methoden-Head-Term,partial,"Beide zielen generisch auf ""Elektroakupunktur""."
krankenkasse tcm / akupunktur krankenkasse,/krankenkassen/,/wissen/krankenkasse-tcm-was-wirklich-uebernommen-wird-2026/,medium,/krankenkassen/,Hub behält Commercial-Intent; Wissen-Artikel als editorialer Deep-Dive belassen; per GSC prüfen ob Google beide rotiert,yes,Auch /krankenkassen/akupunktur/ hängt im selben Intent-Raum; Dreieck beobachten.
pcos tcm / pcos akupunktur,/beschwerden/pcos/,/wissen/pcos-akupunktur-tcm/,medium,/beschwerden/pcos/,Wissen-H1/Intro stärker auf Einordnungs-Frage drehen falls GSC Rotation zeigt,yes,H2-Strukturen überlappen; Wissen-Artikel ist ehrlicher Einordnungstext.
haeufige infekte / immunsystem staerken,/beschwerden/immunschwaeche/,/wissen/haeufige-infekte-immunsystem/,medium,/beschwerden/immunschwaeche/,Beobachten; bei Rotation Wissen-Title auf Studien-/Alltagshebel-Frame drehen,yes,Wissen-Artikel behandelt bewusst die Grenzen der TCM — inhaltlich differenziert aber Keyword-nah.
menstruationsbeschwerden / zyklusbeschwerden / pms,/beschwerden/menstruationsbeschwerden/,/beschwerden/zyklusbeschwerden/,medium,/beschwerden/menstruationsbeschwerden/,GSC-Daten je Query prüfen; ggf. schwächere Seite per Canonical konsolidieren (Muster MERGED in beschwerden/[slug].astro); pms ist eigenständig,yes,Drittes nahes Leaf: /beschwerden/pms/. Gleiches Muster wie die 09/2026 konsolidierten Synonym-Tripel.
schmerzen unterer ruecken,/beschwerden/rueckenschmerzen/,/wissen/schmerzen-unterer-ruecken/,medium,/beschwerden/rueckenschmerzen/,Beobachten; Wissen-Artikel ist Ursachen-Ratgeber zur Symptom-Lokalisation — bei Rotation Intro/Anker schärfen,yes,Auch /beschwerden/ischias/ und /beschwerden/hexenschuss/ liegen im selben Cluster (fachlich getrennt).
akupunktur abnehmen / gewichtsmanagement,/beschwerden/gewichtsmanagement/,/wissen/akupunktur-zum-abnehmen/,medium,/wissen/akupunktur-zum-abnehmen/,Positionierung abgleichen: Wissen-Artikel verneint Abnehm-Programme während die Beschwerdeseite Gewichtsmanagement anbietet — redaktionelle Entscheidung nötig (kein reines SEO-Problem),no,Inhaltlicher Widerspruch wichtiger als Keyword-Überschneidung.
tcm zuerich / akupunktur zuerich,/akupunktur-tcm-zuerich/,/standorte/zuerich-city/,low,/akupunktur-tcm-zuerich/,Keine Änderung: bewusste Hub-&-Spoke-Architektur (Hub = Stadt, Spokes = Quartiere); in GSC gelegentlich auf Rotation prüfen,no,Hub verlinkt alle drei Praxen; Spokes differenzieren per Quartier.
massage winterthur / massage st. gallen,/massage-winterthur/,/therapien/massage/klassische-massage/,low,/massage-winterthur/,"Stadtseiten besitzen ""massage + stadt""; Methodenseiten (Titles ""… Winterthur & St. Gallen"") besitzen die Methode — Anker entsprechend trennen",no,Betrifft alle 10 /therapien/massage/*-Seiten mit Städte-Title vs. 8 Massage-Stadtseiten.
