candidate_query,normalized_intent,body_area,symptom,situation,timing,closest_existing_url,closest_existing_topic,overlap_risk,unique_intent,medical_value,commercial_relevance,funnel_target_url,red_flag_sensitivity,recommended_action,priority,notes
Hals Klossgefühl ohne Erkältung,hals: klossgefühl ohne erkältung,Hals,Klossgefühl,ohne Erkältung,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,medium,CREATE,P1,"P1: Globusgefühl nirgends abgedeckt; stressassoziiert mit klarer Abklärungslogik (HNO/Reflux). Links: stress-burnout, sodbrennen. UMGESETZT 09/2026 als /koerpersignale/klossgefuehl-im-hals/."
Ohr pocht im Takt des Herzschlags nachts,ohr: pocht im takt des herzschlags nachts,Ohr,pocht im Takt des Herzschlags,nachts,nachts,/beschwerden/tinnitus/,Tinnitus,low,yes,high,medium,/beschwerden/tinnitus/,high,CREATE,P1,"P1: pulsatiler Tinnitus, medizinisch eigenes Muster. NUR mit prominenter ärztlicher Abklärung (Gefässursachen); TCM ausdrücklich nachrangig. Funnel: /beschwerden/tinnitus/. UMGESETZT 09/2026 als /koerpersignale/herzschlag-im-ohr/."
Schwindel beim Umdrehen im Bett,schwindel: tritt auf beim umdrehen im bett,Schwindel,tritt auf,beim Umdrehen im Bett,,/beschwerden/schwindel/,Schwindel,medium,yes,high,medium,/beschwerden/schwindel/,medium,CREATE,P1,"P1: BPLS-Muster, klar eigener Vor-Diagnose-Intent; Schwindel-Seite deckt das Lagerungs-Muster nicht spezifisch. Red Flags + HNO-/Neuro-Verweis zwingend; Funnel: /beschwerden/schwindel/. UMGESETZT 09/2026 als /koerpersignale/schwindel-beim-umdrehen-im-bett/."
Wade krampft nachts,wade: krampft nachts,Wade,krampft,nachts,nachts,/beschwerden/restless-legs/,Restless Legs,low,yes,medium,medium,/beschwerden/restless-legs/,none,CREATE,P1,"P1: kein bestehendes Leaf; Magnesium/Elektrolyte/Medikamente als Ursachen; Links: restless-legs, polyneuropathie. UMGESETZT 09/2026 als /koerpersignale/wadenkraempfe-nachts/."
Augenlid zuckt seit Tagen,augenlid: zuckt seit tagen,Augenlid,zuckt,seit Tagen,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,low,/beschwerden/stress-burnout/,none,CREATE,P2,"P2: gutartiges Stress-/Schlafmangel-Signal; Links: stress-burnout, schlafprobleme."
Füsse sind kalt immer,füsse: sind kalt immer,Füsse,sind kalt,immer,,/beschwerden/raynaud-syndrom/,Raynaud-Syndrom,low,yes,medium,medium,/beschwerden/durchblutungsstoerungen/,none,SUPPORTING_SECTION,P2,"P2: zusammen mit ""Hände kalt"" EINE Kandidaten-Seite (kalte Hände & Füsse) — nicht zwei."
Hals ständiges Räuspern morgens,hals: ständiges räuspern morgens,Hals,ständiges Räuspern,morgens,morgens,/beschwerden/sodbrennen/,Sodbrennen & Reflux,low,yes,medium,medium,/beschwerden/sodbrennen/,none,CREATE,P2,"P2: Muster stiller Reflux/postnasaler Tropf; zusammen mit ""Schleim im Hals"" EINE Seite. Links: sodbrennen, sinusitis, allergien-heuschnupfen. UMGESETZT 09/2026 als /koerpersignale/staendiger-raeusperzwang/."
Herz stolpert im Liegen,herz: stolpert im liegen,Herz,stolpert,im Liegen,,/beschwerden/angststoerungen/,Angststörungen,low,yes,high,medium,/beschwerden/angststoerungen/,high,REVIEW_MANUALLY,P2,"P2 nur unter Auflagen: EKG/kardiologische Abklärung prominent, TCM ausschliesslich als Begleitung bei gutartigem Befund; sonst verwerfen."
Hände sind kalt immer,hände: sind kalt immer,Hände,sind kalt,immer,,/beschwerden/raynaud-syndrom/,Raynaud-Syndrom,low,yes,medium,medium,/beschwerden/raynaud-syndrom/,none,CREATE,P2,"P2: konstitutionelles Muster vs. Raynaud-Anfallsmuster abgrenzen; Links: raynaud-syndrom, durchblutungsstoerungen, eisenmangel. UMGESETZT 09/2026 als /koerpersignale/kalte-haende-einseitig/."
Körper schwitzt nachts stark,körper: schwitzt nachts stark,Körper,schwitzt,nachts stark,nachts,/beschwerden/hyperhidrose/,Starkes Schwitzen (Hyperhidrose) – TCM,high,no,high,low,/beschwerden/hyperhidrose/,high,CREATE,P2,P2: isolierter Nachtschweiss ≠ Hyperhidrose (tags) ≠ Wallungen; B-Symptomatik-Red-Flags zwingend. Funnel: hyperhidrose/wechseljahre/stress-burnout. UMGESETZT 09/2026 als /koerpersignale/starkes-schwitzen-ohne-sport/.
