url,publication_date,cluster,target_intent,owner_status,sitemap,indexable,canonical_ok,gsc_status
/gesundheitsbibliothek/fragen/starke-reaktion-nach-akupunktur/,2026-09-23,fragen,Starke Reaktion nach Akupunktur,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/akupunktur-nerv-getroffen/,2026-09-23,fragen,Nerv bei Akupunktur getroffen,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/akupunktur-nebenwirkungen/,2026-09-23,fragen,Nebenwirkungen der Akupunktur (Übersicht),PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/gamma-gt-erhoeht/,2026-09-23,befunde-werte,Einordnung Laborwert Gamma-GT erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/nierenwerte-erhoeht/,2026-09-23,befunde-werte,Einordnung Befund Nierenwerte erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/hba1c-erhoeht/,2026-09-23,befunde-werte,Einordnung Laborwert HbA1c erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/harnsaeure-erhoeht/,2026-09-24,befunde-werte,Einordnung Laborwert Harnsäure erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/ferritin-erhoeht/,2026-09-24,befunde-werte,Einordnung Laborwert Ferritin erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/kalium-zu-hoch/,2026-09-24,befunde-werte,Einordnung Laborwert Kalium zu hoch,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/alkalische-phosphatase-erhoeht/,2026-09-24,befunde-werte,Einordnung Laborwert alkalische Phosphatase erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/gpt-alt-erhoeht/,2026-09-24,befunde-werte,Einordnung Laborwert GPT/ALT erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/got-ast-erhoeht/,2026-09-24,befunde-werte,Einordnung Laborwert GOT/AST erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/vitamin-d-zu-niedrig/,2026-09-24,befunde-werte,Einordnung Laborwert Vitamin D zu niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/vitamin-b12-zu-niedrig/,2026-09-24,befunde-werte,Einordnung Laborwert Vitamin B12 zu niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/wissen/schroepfmassage/,2026-09-24,wissen,Schröpfmassage (bewegtes Schröpfen),PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/wissen/shiatsu-selbstbehandlung/,2026-09-24,wissen,Shiatsu-Selbstbehandlung zu Hause,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/haemoglobin-zu-niedrig/,2026-09-24,befunde-werte,Einordnung Laborwert Hämoglobin zu niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
