candidate_intent,candidate_keyword,intent_type,related_existing_owner,closest_existing_url,overlap_risk,why_not_already_covered,potential_page_type,commercial_relevance,medical_relevance,priority,notes
Lagerungsabhängiger Schwindel beim Umdrehen im Bett (BPLS-Muster),schwindel beim umdrehen im bett,informational,/beschwerden/schwindel/,/beschwerden/schwindel/,medium,Schwindel-Seite behandelt Dreh-/Schwankschwindel generisch; das nächtliche Lagerungs-Muster (Sekunden-Drehschwindel bei Kopfbewegung) ist ein eigener Vor-Diagnose-Intent inkl. Epley-Kontext,koerpersignal,medium,high,P1,Muss klar zur ärztlichen Abklärung (HNO/Neurologie) führen und auf /beschwerden/schwindel/ verlinken. Keine Heilversprechen.
Herzschlag im Ohr hören (pulsatiler Tinnitus),herzschlag im ohr,informational,/beschwerden/tinnitus/,/beschwerden/tinnitus/,medium,Tinnitus-Seite deckt den klassischen Dauerton; pulssynchrones Ohrgeräusch ist medizinisch eigenes Muster mit eigener Abklärungslogik,koerpersignal,medium,high,P1,Red-Flag-lastig (gehört primär ärztlich abgeklärt); Seite wäre Trust-Content mit Link zu Tinnitus.
Nächtliche Wadenkrämpfe,wadenkrämpfe nachts,informational,,/beschwerden/restless-legs/,low,Kein Leaf vorhanden; Restless Legs ist das nächste Thema aber klinisch klar verschieden,koerpersignal,medium,medium,P1,Magnesium/Elektrolyte/Medikamente als Ursachen; Links: restless-legs + polyneuropathie.
Kloss im Hals / Globusgefühl,kloss im hals,informational,,/beschwerden/stress-burnout/,low,Nirgends abgedeckt; häufiges stressassoziiertes Körpersignal mit klarer Abklärungslogik (HNO/Reflux),koerpersignal,medium,medium,P1,Links: stress-burnout + sodbrennen; Reflux/HNO-Abklärung erhalten.
Augenlid zuckt seit Tagen,augenlid zuckt,informational,,/beschwerden/stress-burnout/,low,Kein bestehendes Thema; klassisches gutartiges Stress-/Schlafmangel-Signal mit seltenen Red Flags,koerpersignal,low,medium,P2,Link zu stress-burnout + schlafprobleme; geringe kommerzielle Nähe.
Immer zur gleichen Uhrzeit aufwachen,immer zur gleichen zeit aufwachen,informational,/beschwerden/schlafprobleme/,/beschwerden/schlafprobleme/,medium,Schlafprobleme-Seite behandelt Ein-/Durchschlafstörung generisch; das Uhrzeit-Muster ist eine eigene populäre Frage,koerpersignal,medium,medium,P2,ACHTUNG Brand-Voice: KEINE Organuhr-/Meridian-Erklärung (CLAUDE.md verbietet energetische Sprache) — nur Schlafarchitektur/Cortisol/Alkohol/Stress medizinisch erklären. Wenn das nicht tragfähig ist: verwerfen.
Ständig kalte Hände und Füsse,immer kalte füsse,informational,/beschwerden/raynaud-syndrom/,/beschwerden/raynaud-syndrom/,medium,Raynaud deckt das pathologische Anfallsmuster; das Alltags-Muster (konstitutionell kalte Extremitäten) sucht anders,koerpersignal,medium,medium,P2,Links: raynaud-syndrom + durchblutungsstoerungen + eisenmangel (Schilddrüse erwähnen).
Nachtschweiss ohne erkennbaren Grund,nachtschweiss ursachen,informational,/beschwerden/hyperhidrose/,/beschwerden/hyperhidrose/,medium,Hyperhidrose = Schwitzen tagsüber an Händen/Achseln; Wechseljahre decken Wallungen; isolierter Nachtschweiss hat eigene (teils ernste) Abklärungslogik,koerpersignal,low,high,P2,B-Symptomatik-Red-Flags zwingend; Links: hyperhidrose + wechseljahre + stress-burnout.
Schwindel beim schnellen Aufstehen,schwindel beim aufstehen,informational,/beschwerden/schwindel/,/beschwerden/schwindel/,medium,Orthostatisches Muster ist eigener Vor-Diagnose-Intent (Kreislauf statt Vestibulärorgan),koerpersignal,low,medium,P2,Nur bauen wenn BPLS-Kandidat (P1) funktioniert; sonst Abschnitt auf Schwindel-Seite.
Herzstolpern / Herzklopfen im Liegen,herzstolpern im liegen,informational,,/beschwerden/angststoerungen/,low,Nicht abgedeckt; sehr häufiges beunruhigendes Körpersignal,koerpersignal,low,high,P2,Stark Red-Flag-lastig (EKG/kardiologische Abklärung zuerst); TCM nur als Begleitung bei gutartigem Befund + Stresskontext.
Zungenbrennen,zungenbrennen,informational,,/beschwerden/wechseljahre/,low,Kein Thema vorhanden; betrifft oft Frauen 50+ (Burning-Mouth-Muster),koerpersignal,low,medium,P2,Vorsicht: TCM-Zungendiagnose nur medizinisch nüchtern erwähnen; Links: wechseljahre + eisenmangel.
Ständiges Räuspern / Schleim im Hals,ständiges räuspern,informational,,/beschwerden/sodbrennen/,low,Nicht abgedeckt; typisches Muster von stillem Reflux/postnasalem Tropf,koerpersignal,low,medium,P2,Links: sodbrennen + sinusitis + allergien-heuschnupfen.
Nacken schmerzt nur beim Drehen,nacken tut beim drehen weh,informational,/beschwerden/nackenschmerzen/,/beschwerden/nackenschmerzen/,high,Bewegungsabhängiges Muster (Blockade/akuter Schiefhals) — aber die Nackenschmerzen-Seite deckt viel davon bereits ab,koerpersignal,medium,medium,P3,Nur bauen wenn GSC zeigt dass die Query an der Hauptseite vorbeiläuft; sonst Abschnitt dort ergänzen.
Druck im Ohr / Ohr zu ohne Erkältung,ohr zu druck,informational,/beschwerden/hoersturz/,/beschwerden/hoersturz/,medium,Hoersturz-Seite erwähnt Ohrdruck im Krankheitskontext; das isolierte Symptom sucht breiter (Tube/Kiefer),koerpersignal,low,medium,P3,Links: hoersturz + kieferschmerzen + sinusitis.
Muskelzucken am ganzen Körper,muskelzucken ursachen,informational,,/beschwerden/stress-burnout/,low,Nicht abgedeckt; häufige Sorge (meist gutartige Faszikulationen),koerpersignal,low,medium,P3,Neurologische Red Flags nötig; geringe Conversion-Nähe.
Ernährung nach TCM (medizinisch erklärt),ernährung nach tcm,informational,/therapien/kraeutertherapie/,/therapien/kraeutertherapie/,low,Kein Owner: Ernährungslehre wird auf Beschwerdeseiten (z.B. Fettleber/Gicht) nur erwähnt,knowledge,medium,medium,P1,Brand-Voice beachten: keine energetischen Begriffe; als praktisch-medizinischen Ratgeber framen.
