gsc_reason,old_url,host,current_http_status,current_indexability,current_canonical,classification,action,target_url,reason,future_content_candidate
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/?quelle=Selbsttest&anliegen,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/?standort=frauenfeld,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/?standort=rorschach,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/?standort=volketswil,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/achillessehne,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/achillessehnenriss,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/anaemie-begleitung,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/bandscheibenvorfall,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/chronische-niereninsuffizienz,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/diabetesmanagement,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/eileiterschwangerschaft,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/eingewachsene-zehennaegel,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/epicondylitis,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/epilepsie,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/erkaeltung,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/glioblastom,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/haemorrhoiden,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/inkontinenz,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/karpaltunnelsyndrom,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/lipoedem,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/lungenkrebs,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/magenkraempfe,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/mesotheliom,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/migraene/rorschach,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/migraene/volketswil,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/migraene/wil,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/migraene/zuerich-hoengg,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/nackenschmerzen/winterthur,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/oestrogenmangel,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/pulmonale-hypertonie,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/rueckenschmerzen/zuerich-hoengg,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/schlafprobleme/winterthur,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
